round,n_labeled,n_unlabeled,final_miou,timestamp,strategy,avg_train_loss
0,29,1435,0.212965,2026-04-14T13:45:41.343880,coreset,1.169796
1,58,1406,0.34812,2026-04-14T13:53:05.656628,coreset,0.843001
2,87,1377,0.433736,2026-04-14T14:01:31.314342,coreset,0.77132
3,116,1348,0.489974,2026-04-14T14:12:17.219822,coreset,0.640778
4,145,1319,0.527476,2026-04-14T14:25:08.518573,coreset,0.621869
5,174,1290,0.547732,2026-04-14T14:46:23.069376,coreset,0.597245
