round,n_labeled,n_unlabeled,final_miou,timestamp,strategy,avg_train_loss
0,29,1435,0.212736,2026-04-14T02:57:39.011879,random,1.170244
1,58,1406,0.342893,2026-04-14T03:07:43.798641,random,0.728417
2,87,1377,0.427244,2026-04-14T03:20:56.682478,random,0.642973
3,116,1348,0.489773,2026-04-14T03:38:05.140426,random,0.577568
4,145,1319,0.518114,2026-04-14T03:59:34.889203,random,0.543218
5,174,1290,0.542389,2026-04-14T04:44:29.439888,random,0.485136
