round,n_labeled,n_unlabeled,final_miou,timestamp,strategy,avg_train_loss
0,29,1435,0.213056,2026-04-14T11:58:11.903059,badge,1.170691
1,58,1406,0.340525,2026-04-14T12:14:01.444709,badge,0.882683
2,87,1377,0.42299,2026-04-14T12:27:35.344250,badge,0.765747
3,116,1348,0.483111,2026-04-14T12:46:00.848367,badge,0.672405
4,145,1319,0.526358,2026-04-14T13:07:57.274173,badge,0.61011
5,174,1290,0.561556,2026-04-14T13:30:59.799354,badge,0.555558
