round,n_labeled,n_unlabeled,final_miou,timestamp,strategy,avg_train_loss
0,211,10371,0.556376,2026-04-14T23:56:16.025605,entropy,1.000494
1,422,10160,0.610047,2026-04-15T00:29:59.537323,entropy,1.003152
2,633,9949,0.638077,2026-04-15T01:13:06.852652,entropy,0.985619
3,844,9738,0.648746,2026-04-15T02:12:04.898107,entropy,0.915962
4,1055,9527,0.675061,2026-04-15T03:30:02.812421,entropy,0.89991
