round,n_labeled,n_unlabeled,final_miou,timestamp,strategy,avg_train_loss
0,211,10371,0.552426,2026-04-15T07:59:54.252938,bald,1.017451
1,422,10160,0.623591,2026-04-15T10:07:51.773561,bald,1.103048
2,633,9949,0.663642,2026-04-15T11:54:35.996573,bald,1.029939
